item	phono	cgram	grapheme	assoc	regTo_GP
a	a	NOM	a	a-a	1
abaca	abaka	NOM	a.b.a.c.a	a-a.b-b.a-a.c-k.a-a	1.1.1.0.1.
abaissa	abEsa	VER	a.b.ai.ss.a	a-a.b-b.ai-E.ss-s.a-a	1.1.1.1.1.
abaissai	abEse	VER	a.b.ai.ss.ai	a-a.b-b.ai-E.ss-s.ai-e	1.1.1.1.1.
abaissaient	abEsE	VER	a.b.ai.ss.aient	a-a.b-b.ai-E.ss-s.aient-E	1.1.1.1.1.
abaissait	abEsE	VER	a.b.ai.ss.ait	a-a.b-b.ai-E.ss-s.ait-E	1.1.1.1.1.
abaissant	abEs@	ADJ	a.b.ai.ss.ant	a-a.b-b.ai-E.ss-s.ant-@	1.1.1.1.1.
abaissant	abEs@	VER	a.b.ai.ss.ant	a-a.b-b.ai-E.ss-s.ant-@	1.1.1.1.1.
abaissante	abEs@t	ADJ	a.b.ai.ss.an.t.e	a-a.b-b.ai-E.ss-s.an-@.t-t.e-#	1.1.1.1.1.1.1.
abaisse	abEs	NOM	a.b.ai.ss.e	a-a.b-b.ai-E.ss-s.e-#	1.1.1.1.1.
abaisse	abEs	VER	a.b.ai.ss.e	a-a.b-b.ai-E.ss-s.e-#	1.1.1.1.1.
abaissement	abEs°m@	NOM	a.b.ai.ss.e.m.ent	a-a.b-b.ai-E.ss-s.e-°.m-m.ent-@	1.1.1.1.0.1.1.
abaissent	abEs	VER	a.b.ai.ss.ent	a-a.b-b.ai-E.ss-s.ent-#	1.1.1.1.0.
abaisser	abEse	VER	a.b.ai.ss.er	a-a.b-b.ai-E.ss-s.er-e	1.1.0.1.1.
abaissera	abEs°Ra	VER	a.b.ai.ss.e.r.a	a-a.b-b.ai-E.ss-s.e-°.r-R.a-a	1.1.1.1.0.1.1.
abaisserai	abEs°Re	VER	a.b.ai.ss.e.r.ai	a-a.b-b.ai-E.ss-s.e-°.r-R.ai-e	1.1.1.1.0.1.1.
abaisseraient	abEs°RE	VER	a.b.ai.ss.e.r.aient	a-a.b-b.ai-E.ss-s.e-°.r-R.aient-E	1.1.1.1.0.1.1.
abaisserais	abEs°RE	VER	a.b.ai.ss.e.r.ais	a-a.b-b.ai-E.ss-s.e-°.r-R.ais-E	1.1.1.1.0.1.1.
abaisserait	abEs°RE	VER	a.b.ai.ss.e.r.ait	a-a.b-b.ai-E.ss-s.e-°.r-R.ait-E	1.1.1.1.0.1.1.
abaisses	abEs	VER	a.b.ai.ss.es	a-a.b-b.ai-E.ss-s.es-#	1.1.1.1.1.
abaissez	abEse	VER	a.b.ai.ss.ez	a-a.b-b.ai-E.ss-s.ez-e	1.1.1.1.1.
abaissons	abEs§	VER	a.b.ai.ss.ons	a-a.b-b.ai-E.ss-s.ons-§	1.1.1.1.1.
abaissèrent	abEsER	VER	a.b.ai.ss.è.r.ent	a-a.b-b.ai-E.ss-s.è-E.r-R.ent-#	1.1.1.1.1.1.0.
abaissé	abEse	VER	a.b.ai.ss.é	a-a.b-b.ai-E.ss-s.é-e	1.1.0.1.1.
abaissé	abEse	ADJ	a.b.ai.ss.é	a-a.b-b.ai-E.ss-s.é-e	1.1.0.1.1.
abaissée	abEse	VER	a.b.ai.ss.é.e	a-a.b-b.ai-E.ss-s.é-e.e-#	1.1.0.1.1.1.
abaissée	abEse	ADJ	a.b.ai.ss.é.e	a-a.b-b.ai-E.ss-s.é-e.e-#	1.1.0.1.1.1.
abaissées	abEse	VER	a.b.ai.ss.é.es	a-a.b-b.ai-E.ss-s.é-e.es-#	1.1.0.1.1.1.
abaissées	abEse	ADJ	a.b.ai.ss.é.es	a-a.b-b.ai-E.ss-s.é-e.es-#	1.1.0.1.1.1.
abaissés	abEse	VER	a.b.ai.ss.é.s	a-a.b-b.ai-E.ss-s.é-e.s-#	1.1.0.1.1.1.
abaissés	abEse	ADJ	a.b.ai.ss.é.s	a-a.b-b.ai-E.ss-s.é-e.s-#	1.1.0.1.1.1.
abalone	abalOn	NOM	a.b.a.l.o.n.e	a-a.b-b.a-a.l-l.o-O.n-n.e-#	1.1.1.1.1.1.1.
abalones	abalOn	NOM	a.b.a.l.o.n.es	a-a.b-b.a-a.l-l.o-O.n-n.es-#	1.1.1.1.1.1.1.
abandon	ab@d§	NOM	a.b.an.d.on	a-a.b-b.an-@.d-d.on-§	1.1.1.1.1.
abandonna	ab@dona	VER	a.b.an.d.o.nn.a	a-a.b-b.an-@.d-d.o-o.nn-n.a-a	1.1.1.1.0.1.1.
abandonnai	ab@done	VER	a.b.an.d.o.nn.ai	a-a.b-b.an-@.d-d.o-o.nn-n.ai-e	1.1.1.1.0.1.1.
abandonnaient	ab@donE	VER	a.b.an.d.o.nn.aient	a-a.b-b.an-@.d-d.o-o.nn-n.aient-E	1.1.1.1.0.1.1.
abandonnais	ab@donE	VER	a.b.an.d.o.nn.ais	a-a.b-b.an-@.d-d.o-o.nn-n.ais-E	1.1.1.1.0.1.1.
abandonnait	ab@donE	VER	a.b.an.d.o.nn.ait	a-a.b-b.an-@.d-d.o-o.nn-n.ait-E	1.1.1.1.0.1.1.
