ortho	phon	lemme	cgram	cgramortho	genre	nombre	infover	syll_cv	orthosyll_cv	freqlivres	freqfilms2
a	a	avoir	AUX	NOM,AUX,VER			ind:pre:3s;	a	a	2926.69	6350.91
a	a	avoir	VER	NOM,AUX,VER			ind:pre:3s;	a	a	1669.39	5498.34
a	a	a	NOM	NOM,AUX,VER	m			a	a	58.65	81.36
abaca	abaka	abaca	NOM	NOM	m	s		a|b_a|k_a	a|b_a|c_a	0.0	0.01
abaissa	abEsa	abaisser	VER	VER			ind:pas:3s;	a|b_E|s_a	a|b_ai|ss_a	2.64	0.0
abaissai	abEse	abaisser	VER	VER			ind:pas:1s;	a|b_E|s_e	a|b_ai|ss_ai	0.07	0.1
abaissaient	abEsE	abaisser	VER	VER			ind:imp:3p;	a|b_E|s_E	a|b_ai|ss_aient	0.41	0.0
abaissait	abEsE	abaisser	VER	VER			ind:imp:3s;	a|b_E|s_E	a|b_ai|ss_ait	2.5	0.02
abaissant	abEs@	abaissant	ADJ	ADJ,VER	m	s		a|b_E|s_@	a|b_ai|ss_ant	0.27	0.03
abaissant	abEs@	abaisser	VER	ADJ,VER			par:pre;	a|b_E|s_@	a|b_ai|ss_ant	2.5	0.01
abaissante	abEs@t	abaissant	ADJ	ADJ	f	s		a|b_E|s_@_t_#	a|b_ai|ss_an_t_e	0.0	0.01
abaisse	abEs	abaisser	VER	NOM,VER			imp:pre:2s;ind:pre:1s;ind:pre:3s;	a|b_E_s_#	a|b_ai_ss_e	3.45	1.28
abaisse	abEs	abaisse	NOM	NOM,VER	f	s		a|b_E_s_#	a|b_ai_ss_e	0.0	0.02
abaissement	abEs°m@	abaissement	NOM	NOM	m	s		a|b_E|s_°|m_@	a|b_ai|ss_e|m_ent	2.16	0.31
abaissent	abEs	abaisser	VER	VER			ind:pre:3p;	a|b_E_s_#	a|b_ai_ss_ent	0.95	0.05
abaisser	abEse	abaisser	VER	VER			inf;	a|b_E|s_e	a|b_ai|ss_er	2.91	1.09
abaissera	abEs°Ra	abaisser	VER	VER			ind:fut:3s;	a|b_E|s_°|R_a	a|b_ai|ss_e|r_a	0.07	0.19
abaisserai	abEs°Re	abaisser	VER	VER			ind:fut:1s;	a|b_E|s_°|R_e	a|b_ai|ss_e|r_ai	0.07	0.1
abaisseraient	abEs°RE	abaisser	VER	VER			cnd:pre:3p;	a|b_E|s_°|R_E	a|b_ai|ss_e|r_aient	0.07	0.01
abaisserais	abEs°RE	abaisser	VER	VER			cnd:pre:1s;cnd:pre:2s;	a|b_E|s_°|R_E	a|b_ai|ss_e|r_ais	0.0	0.13
abaisserait	abEs°RE	abaisser	VER	VER			cnd:pre:3s;	a|b_E|s_°|R_E	a|b_ai|ss_e|r_ait	0.2	0.02
abaisses	abEs	abaisser	VER	VER			ind:pre:2s;	a|b_E_s_#	a|b_ai_ss_es	0.07	0.16
abaissez	abEse	abaisser	VER	VER			imp:pre:2p;ind:pre:2p;	a|b_E|s_e	a|b_ai|ss_ez	0.07	0.53
abaissons	abEs§	abaisser	VER	VER			imp:pre:1p;	a|b_E|s_§	a|b_ai|ss_ons	0.0	0.02
abaissèrent	abEsER	abaisser	VER	VER			ind:pas:3p;	a|b_E|s_E_R_#	a|b_ai|ss_è_r_ent	0.41	0.0
abaissé	abEse	abaisser	VER	VER,ADJ	m	s	par:pas;	a|b_E|s_e	a|b_ai|ss_é	1.35	0.74
abaissé	abEse	abaissé	ADJ	VER,ADJ	m	s		a|b_E|s_e	a|b_ai|ss_é	0.2	0.03
abaissée	abEse	abaisser	VER	VER,ADJ	f	s	par:pas;	a|b_E|s_e_#	a|b_ai|ss_é_e	0.27	0.17
abaissée	abEse	abaissé	ADJ	VER,ADJ	f	s		a|b_E|s_e_#	a|b_ai|ss_é_e	0.2	0.0
abaissées	abEse	abaissé	ADJ	VER,ADJ	f	p		a|b_E|s_e_#	a|b_ai|ss_é_es	0.27	0.02
abaissées	abEse	abaisser	VER	VER,ADJ	f	p	par:pas;	a|b_E|s_e_#	a|b_ai|ss_é_es	0.0	0.01
abaissés	abEse	abaisser	VER	VER,ADJ	m	p	par:pas;	a|b_E|s_e_#	a|b_ai|ss_é_s	0.07	0.3
abaissés	abEse	abaissé	ADJ	VER,ADJ	m	p		a|b_E|s_e_#	a|b_ai|ss_é_s	0.07	0.01
abalone	abalOn	abalone	NOM	NOM	m	s		a|b_a|l_O_n_#	a|b_a|l_o_n_e	0.0	0.01
abalones	abalOn	abalone	NOM	NOM	m	p		a|b_a|l_O_n_#	a|b_a|l_o_n_es	0.07	0.0
abandon	ab@d§	abandon	NOM	NOM	m	s		a|b_@|d_§	a|b_an|d_on	25.2	4.77
abandonna	ab@dona	abandonner	VER	VER			ind:pas:3s;	a|b_@|d_o|n_a	a|b_an|d_o|nn_a	8.92	0.59
abandonnai	ab@done	abandonner	VER	VER			ind:pas:1s;	a|b_@|d_o|n_e	a|b_an|d_o|nn_ai	2.16	0.27
abandonnaient	ab@donE	abandonner	VER	VER			ind:imp:3p;	a|b_@|d_o|n_E	a|b_an|d_o|nn_aient	1.55	0.07
abandonnais	ab@donE	abandonner	VER	VER			ind:imp:1s;ind:imp:2s;	a|b_@|d_o|n_E	a|b_an|d_o|nn_ais	1.49	0.35
abandonnait	ab@donE	abandonner	VER	VER			ind:imp:3s;	a|b_@|d_o|n_E	a|b_an|d_o|nn_ait	9.46	1.04
abandonnant	ab@don@	abandonner	VER	VER			par:pre;	a|b_@|d_o|n_@	a|b_an|d_o|nn_ant	9.93	1.15
abandonnas	ab@dona	abandonner	VER	VER			ind:pas:2s;	a|b_@|d_o|n_a	a|b_an|d_o|nn_as	0.14	0.0
