ortho	phon	lemme	cgram	cgramortho	genre	nombre	infover	syll_cv	orthosyll_cv	freqlivres	freqfilms2	source
globalisés	glObalize	globaliser	VER	VER	m	p	par:pas;	g_l_O|b_a|l_i|z_e	g_l_o|b_a|l_i|s_é_s	0.0	0.0	synthetic
globalisée	glObalize	globaliser	VER	VER	f	s	par:pas;	g_l_O|b_a|l_i|z_e	g_l_o|b_a|l_i|s_é_e	0.0	0.0	synthetic
globalisées	glObalize	globaliser	VER	VER	f	p	par:pas;	g_l_O|b_a|l_i|z_e	g_l_o|b_a|l_i|s_é_es	0.0	0.0	synthetic
discriminés	diskRimine	discriminer	VER	VER	m	p	par:pas;	d_i_s|k_R_i|m_i|n_e	d_i_s|c_r_i|m_i|n_é_s	0.0	0.0	synthetic
discriminée	diskRimine	discriminer	VER	VER	f	s	par:pas;	d_i_s|k_R_i|m_i|n_e	d_i_s|c_r_i|m_i|n_é_e	0.0	0.0	synthetic
discriminées	diskRimine	discriminer	VER	VER	f	p	par:pas;	d_i_s|k_R_i|m_i|n_e	d_i_s|c_r_i|m_i|n_é_es	0.0	0.0	synthetic
discriminâtes	diskRiminat	discriminer	VER	VER			ind:pas:2p;	d_i_s|k_R_i|m_i|n_a_t_#	d_i_s|c_r_i|m_i|n_â_t_es	0.0	0.0	synthetic
discrimine	diskRimin	discriminer	VER	VER			sub:pre:1s;	d_i_s|k_R_i|m_i|n_#	d_i_s|c_r_i|m_i|n_e	0.0	0.0	synthetic
discrimines	diskRimin	discriminer	VER	VER			sub:pre:2s;	d_i_s|k_R_i|m_i|n_#	d_i_s|c_r_i|m_i|n_es	0.0	0.0	synthetic
discrimine	diskRimin	discriminer	VER	VER			sub:pre:3s;	d_i_s|k_R_i|m_i|n_#	d_i_s|c_r_i|m_i|n_e	0.0	0.0	synthetic
discriminasse	diskRiminas	discriminer	VER	VER			sub:imp:1s;	d_i_s|k_R_i|m_i|n_a_s_#	d_i_s|c_r_i|m_i|n_a_ss_e	0.0	0.0	synthetic
